18362,"K0F9","small_airport","Tishomingo Airpark",34.198502,-96.6745,647,"NA","US","US-OK","Tishomingo","no",,,"0F9",,,
18363,"K0G3","small_airport","Tecumseh Municipal Airport",40.400849,-96.170406,1306,"NA","US","US-NE","Tecumseh","no",,,"0G3",,,
18364,"K0G6","small_airport","Williams County Airport",41.4674,-84.506599,730,"NA","US","US-OH","Bryan","no",,,"0G6",,"https://en.wikipedia.org/wiki/Williams_County_Airport",
18365,"K0G7","small_airport","Finger Lakes Regional Airport",42.883598,-76.782246,492,"NA","US","US-NY","Seneca Falls","no",,,"0G7",,"https://en.wikipedia.org/wiki/Finger_Lakes_Regional_Airport",
18366,"K0H1","small_airport","Trego WaKeeney Airport",39.004501,-99.892899,2435,"NA","US","US-KS","WaKeeney","no",,,"0H1","https://www.tregocountyks.com/2148/Airport",,"7KS1"
18367,"K0I8","small_airport","Cynthiana-Harrison County Airport",38.3661994934,-84.2833023071,721,"NA","US","US-KY","Cynthiana","no","0I8",,"0I8","http://www.ky0i8.com/","https://en.wikipedia.org/wiki/Cynthiana-Harrison_County_Airport",
18368,"K0J4","small_airport","Florala Municipal Airport",31.0425,-86.3116,314,"NA","US","US-AL","Florala","no",,,"0J4",,"https://en.wikipedia.org/wiki/Florala_Municipal_Airport",
18369,"K0J6","small_airport","Headland Municipal Airport",31.3643,-85.311798,359,"NA","US","US-AL","Headland","no","KHDL",,"HDL","https://www.flyheadland.org/","https://en.wikipedia.org/wiki/Headland_Municipal_Airport","0J6"
18370,"K0J9","small_airport","Flying V Airport",40.867802,-97.354011,1585,"NA","US","US-NE","Utica","no",,,"0NE9",,,"0J9, NE23"
18371,"K0K7","small_airport","Humboldt Municipal Airport",42.734831,-94.245315,1093,"NA","US","US-IA","Humboldt","no","K0K7","HUD","0K7","http://www.iowadot.gov/aviation/airports/AirportIntermediate.aspx?FAACode=0K7","https://en.wikipedia.org/wiki/Humboldt_Municipal_Airport_(Iowa)",
18372,"K0L7","small_airport","Jean Airport",35.7682991027832,-115.33000183105469,2832,"NA","US","US-NV","Jean","no","K0L7",,"0L7",,"https://en.wikipedia.org/wiki/Jean_Airport",
